familia_grupo,n,mean_degree,sd_degree,mean_between,n_paises,n_bridges_out,n_internal,closure_index,constraint_proxy,reach,country
mac_allister,4,1.5,1,0.75,1,0,10,0.9999000099990002,1.9946808510638299,0,argentina
maciel,8,0.625,0.7440238091428449,0.125,2,1,10,0.909008271975275,-1.0758472296933836,1,argentina
mackenna,25,1.16,1.2476644848141933,8.29,1,12,48,0.7999866668888852,88.37953091684439,5,chile
macri,4,0.5,0.5773502691896257,0,1,0,6,0.9998333611064822,-0,0,argentina
madariaga,5,0,0,0,2,0,0,0,0,0,colombia
madero,10,1.7,1.5670212364724205,4.9,1,3,38,0.9268066632521158,8.221476510067115,3,mexico
maduro,4,2,0,0.5,1,0,14,0.9999285765302479,0.4995004995004996,0,venezuela
mallarino,5,0.8,0.8366600265340756,0.2,1,0,12,0.9999166736105325,-2.5316455696202538,0,colombia
malo,3,0.33333333333333337,0.5773502691896258,0,1,1,0,0,-0,1,mexico
manrique,8,0.875,0.9910312089651149,2.125,1,1,14,0.9332711152589828,-39.58090803259604,1,colombia
mansilla,2,1,1.4142135623730951,0,1,2,0,0,0,1,argentina
mantilla,2,0,0,0,1,0,0,0,0,0,peru
maradona,8,0.75,1.0350983390135313,0,1,0,14,0.9999285765302479,-0,0,argentina
marcó_del_pont,7,0.5714285714285714,0.7867957924694431,0.14285714285714288,1,0,12,0.9999166736105325,-1.1762728953117125,0,argentina
mariátegui,13,1.5384615384615385,1.4500221041639683,0.46153846153846145,1,0,48,0.9999791671006855,1.1116019894825346,0,peru
mariño,3,0,0,0,1,0,0,0,0,0,colombia
martín_del_campo,9,0,0,0,1,0,0,0,0,0,mexico
martínez-silva,3,1.3333333333333333,0.5773502691896257,0.33333333333333337,1,0,10,0.9999000099990002,1.4932802389248387,0,colombia
martínez_de_hoz,6,0.33333333333333337,0.5163977794943223,0,1,0,4,0.9997500624843788,-0,0,argentina
massú,2,0,0,0,1,0,0,0,0,0,chile
mateos,8,0.5,0.5345224838248488,0,1,0,10,0.9999000099990002,-0,0,mexico
matta,10,0.9,0.7378647873726218,0.20000000000000004,1,1,22,0.9564801530368244,-4.545454545454548,1,chile
matte,43,1.6976744186046513,1.3546196746324923,11.686046511627906,1,19,134,0.8758112692073907,19.699612252917213,4,chile
maza,7,2.2857142857142856,1.2535663410560174,1.2857142857142856,1,0,34,0.9999705891003207,0.8744049188746548,0,argentina
mazuera,2,0.5,0.7071067811865476,0,1,1,0,0,-0,1,colombia
medina,1,0,,0,1,0,0,0,0,0,colombia
medina_mora,3,0,0,0,1,0,0,0,0,0,mexico
mediz_bolio,1,0,,0,1,0,0,0,0,0,mexico
melgar,6,0,0,0,1,0,0,0,0,0,peru
mendiburu,3,0,0,0,1,0,0,0,0,0,peru
mendoza_ladrón_de_guevara,5,0.6,0.5477225575051662,0,2,8,0,0,-0,1,chile
menem,4,0.5,0.5773502691896257,0,1,0,6,0.9998333611064822,-0,0,argentina
mera_figueroa,2,0,0,0,1,0,0,0,0,0,argentina
meruane,4,0.5,0.5773502691896257,0,2,0,4,0.9997500624843788,-0,0,chile
michelsen,3,0,0,0,1,0,0,0,0,0,colombia
mier_y_noriega,2,0,0,0,1,0,0,0,0,0,mexico
mier_y_terán,5,0.4,0.5477225575051662,0,1,0,4,0.9997500624843788,-0,0,mexico
miró_quesada,22,1.1818181818181819,1.0970247050377684,1.409090909090909,3,4,52,0.9285548472348708,12.994436399664654,2,peru
mitre,7,0.5714285714285714,0.7867957924694431,0.14285714285714288,1,0,10,0.9999000099990002,-1.1762728953117125,0,argentina
moctezuma,12,1.75,1.4847711791873706,5.333333333333334,2,13,32,0.7110953089931336,8.114618993280082,1,mexico
monagas,6,1.3333333333333333,1.0327955589886446,1.3333333333333335,1,0,20,0.999950002499875,5.973120955699355,0,venezuela
monckeberg,10,0.2,0.42163702135578396,0,1,0,4,0.9997500624843788,-0,0,chile
monreal,4,0,0,0,1,0,0,0,0,0,mexico
montero,6,0.6666666666666666,0.5163977794943223,0,2,0,8,0.9998750156230471,-0,0,chile
