family,block,K_selected,entropy.x,country,icl,bic,entropy.y
de_la_puente,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
de_la_rúa,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
de_la_torre,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
de_los_heros,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
de_rosenzweig_díaz,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
de_solminihac,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
de_valverde,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
del_carril,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
del_mazo,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
del_río,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
del_río_chile,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
del_solar,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
delgado_parker,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
denegri,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
derbez,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
di_girolamo,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
di_palma,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
di_tella,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
dibós,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
diez_canseco,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
dosamantes_rul,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
drago,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
duque,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
durand,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
durand_argentina,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
durán_colombia,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
durán_reveles,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
dávila,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
díaz,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
díaz_ceballos,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
díaz_de_león,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
díaz_del_castillo,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
díaz_granados,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
díaz_infante,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
díaz_lombardo,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
