url,coordinator,consultant,gatekeeper,representative,liaison,nombre,familia,pais,total_brokerage,norm_coordinator,norm_consultant,norm_gatekeeper,norm_representative,norm_liaison
https://es.wikipedia.org/wiki/Alejandro_Ciangherotti,6,0,0,0,0,Alejandro Ciangherotti,soler,argentina,6,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Ciangherotti_II,2,0,0,0,0,Alejandro Ciangherotti II,soler,argentina,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Echavarr%C3%ADa,12,0,0,0,0,Alejandro Echavarría,echavarría,colombia,12,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Eder,0,1,0,0,0,Alejandro Eder,eder,colombia,1,0,1,0,0,0
https://es.wikipedia.org/wiki/Alejandro_G%C3%B3mez_Maganda,0,0,0,0,0,Alejandro Gómez Maganda,gómez_maganda,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Gallinal,0,0,0,0,0,Alejandro Gallinal,heber,uruguay,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Galvis_Galvis,6,0,0,0,0,Alejandro Galvis Galvis,galvis_galavís,colombia,6,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Galvis_Ram%C3%ADrez,0,0,0,0,0,Alejandro Galvis Ramírez,galvis_galavís,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Garc%C3%ADa-Huidobro,0,0,0,0,0,Alejandro García-Huidobro,garcía-huidobro,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Garret%C3%B3n,0,0,0,0,0,Alejandro Garretón,garretón,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Hales,0,0,0,0,0,Alejandro Hales,hales,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Luna_Ledesma,2,0,0,0,0,Alejandro Luna Ledesma,sodi,mexico,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Mir%C3%B3-Quesada_Cisneros,0,0,0,0,0,Alejandro Miró-Quesada Cisneros,cisneros,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Mir%C3%B3_Quesada_Garland,2,0,0,2,0,Alejandro Miró Quesada Garland,cisneros,peru,4,0.5,0,0,0.5,0
https://es.wikipedia.org/wiki/Alejandro_Obreg%C3%B3n,2,0,0,0,0,Alejandro Obregón,obregón,colombia,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Osorio_Uribe,2,0,0,0,0,Alejandro Osorio Uribe,nariño,colombia,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Roca_Rey,0,0,0,0,0,Alejandro Roca Rey,roca_y_rodríguez,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Santo_Domingo,0,0,0,0,0,Alejandro Santo Domingo,pumarejo,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Santos,0,0,0,0,0,Alejandro Santos,santos,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_Santos_Rubino,2,0,0,0,0,Alejandro Santos,calderón_colombia,colombia,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejandro_VI,25,0,0,0,0,Alejandro VI,borja,colombia,25,1,0,0,0,0
https://es.wikipedia.org/wiki/Alejo_Peralta,0,0,0,0,0,Alejo Peralta,díaz_ceballos,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alessa_Wichtel,0,0,0,0,0,Alessa Wichtel,alarco,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alessandra_Guerzoni,0,0,0,0,0,Alessandra Guerzoni,portales,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alessandra_Rosaldo,2,0,0,0,0,Alessandra Rosaldo,derbez,mexico,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Alessandra_de_Osma,0,0,0,0,0,Alessandra de Osma,osma,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Alessia_Injoque,1,0,0,0,0,Alessia Injoque,alegría,chile,1,1,0,0,0,0
https://es.wikipedia.org/wiki/Alessia_Rovegno,0,0,0,0,0,Alessia Rovegno,cayo,peru,0,0,0,0,0,0
