family,degree,coreness,in_3_core,in_4_core,core_score,be_fit_global
garcía_y_garcía,0,0,FALSE,FALSE,1.5617628459951046e-48,0.19806993296305744
garretón,0,0,FALSE,FALSE,2.0374597304477523e-49,0.19806993296305744
garrido-lecca,0,0,FALSE,FALSE,2.2591982256048775e-49,0.19806993296305744
garza_sada,1,1,FALSE,FALSE,7.132637128597144e-18,0.19806993296305744
gastañeta,0,0,FALSE,FALSE,2.1576626790460783e-48,0.19806993296305744
gibson,0,0,FALSE,FALSE,7.248940414500612e-49,0.19806993296305744
gildemeister,0,0,FALSE,FALSE,5.682670344367196e-49,0.19806993296305744
gilinski,0,0,FALSE,FALSE,5.986218762580465e-49,0.19806993296305744
gnecco,1,1,FALSE,FALSE,3.0675928790958515e-48,0.19806993296305744
godoy,0,0,FALSE,FALSE,4.79497230791323e-49,0.19806993296305744
gonzález-olaechea,1,1,FALSE,FALSE,0.0218731841865787,0.19806993296305744
gonzález_de_cosío,1,1,FALSE,FALSE,1.3524412650350546e-49,0.19806993296305744
gonzález_del_valle,0,0,FALSE,FALSE,3.645657452950954e-49,0.19806993296305744
gonzález_guevara,0,0,FALSE,FALSE,7.51303563993703e-49,0.19806993296305744
gonzález_rojo,0,0,FALSE,FALSE,1.9507409576365742e-48,0.19806993296305744
gonzález_torres,0,0,FALSE,FALSE,5.020892995077479e-49,0.19806993296305744
gonzález_vigil,0,0,FALSE,FALSE,9.24859519118791e-49,0.19806993296305744
gorriti,1,1,FALSE,FALSE,2.908030408006214e-50,0.19806993296305744
grau,0,0,FALSE,FALSE,9.225878934393133e-49,0.19806993296305744
graña,1,1,FALSE,FALSE,3.1375690232205306e-49,0.19806993296305744
groot,2,1,FALSE,FALSE,0.004444367111264331,0.19806993296305744
guarello,0,0,FALSE,FALSE,3.480468843505283e-49,0.19806993296305744
guerrero,0,0,FALSE,FALSE,3.3774679316511113e-49,0.19806993296305744
guevara,0,0,FALSE,FALSE,1.7743220840014836e-48,0.19806993296305744
guilisasti,0,0,FALSE,FALSE,2.2971746700653712e-50,0.19806993296305744
guillermoprieto,0,0,FALSE,FALSE,2.4356374112039377e-49,0.19806993296305744
gutiérrez_díaz,1,1,FALSE,FALSE,0.2460260888150635,0.19806993296305744
gutiérrez_nájera,0,0,FALSE,FALSE,1.3683041584650096e-49,0.19806993296305744
gutiérrez_zamora,0,0,FALSE,FALSE,6.916556935626656e-50,0.19806993296305744
guzmán,0,0,FALSE,FALSE,2.329453158869596e-49,0.19806993296305744
guízar,0,0,FALSE,FALSE,2.7516700989122732e-49,0.19806993296305744
gálvez,0,0,FALSE,FALSE,8.996768109155815e-49,0.19806993296305744
gómez,0,0,FALSE,FALSE,2.2747927190505577e-48,0.19806993296305744
gómez-mont,0,0,FALSE,FALSE,1.0708881286048518e-48,0.19806993296305744
gómez-robledo,0,0,FALSE,FALSE,1.2466031306195161e-48,0.19806993296305744
gómez-urquíza,0,0,FALSE,FALSE,1.052627171358147e-48,0.19806993296305744
gómez_farías,1,1,FALSE,FALSE,1.1815381882158692e-27,0.19806993296305744
gómez_maganda,0,0,FALSE,FALSE,1.2956929645877446e-49,0.19806993296305744
gómez_martínez,1,1,FALSE,FALSE,7.132637128597144e-18,0.19806993296305744
gómez_venezuela,1,1,FALSE,FALSE,2.4976999440252946e-48,0.19806993296305744
güemes,1,1,FALSE,FALSE,2.9120959818700394e-48,0.19806993296305744
güiraldes,0,0,FALSE,FALSE,1.6441520924400745e-48,0.19806993296305744
hales,1,1,FALSE,FALSE,2.013411863197273e-33,0.19806993296305744
heber,0,0,FALSE,FALSE,1.375500668776847e-48,0.19806993296305744
heiremans,0,0,FALSE,FALSE,1.1124148518990555e-48,0.19806993296305744
heraud,0,0,FALSE,FALSE,2.724065227539244e-49,0.19806993296305744
herrera,1,1,FALSE,FALSE,8.690722957494163e-5,0.19806993296305744
herrera_salcedo,0,0,FALSE,FALSE,2.3210532952046523e-48,0.19806993296305744
herrán,0,0,FALSE,FALSE,1.1483075286858394e-49,0.19806993296305744
hidalgo_y_costilla,0,0,FALSE,FALSE,8.548821547635705e-49,0.19806993296305744
hoke,0,0,FALSE,FALSE,9.9368677340394e-49,0.19806993296305744
holguín,2,1,FALSE,FALSE,0.0036619791140184224,0.19806993296305744
holmberg,0,0,FALSE,FALSE,1.744860405663455e-48,0.19806993296305744
humala,0,0,FALSE,FALSE,1.4972442098309647e-48,0.19806993296305744
hurtado,0,0,FALSE,FALSE,6.9543258955842205e-50,0.19806993296305744
ibáñez,0,0,FALSE,FALSE,4.4168698246151224e-49,0.19806993296305744
