pais,nombre,url,grado,betweenness,ranking
bolivia,Adolfo Ballivián Grimwood,https://es.wikipedia.org/wiki/Adolfo_Ballivi%C3%A1n_Grimwood,1,0,8
bolivia,Jorge Ballivián,https://es.wikipedia.org/wiki/Jorge_Ballivi%C3%A1n,1,0,9
bolivia,María Esther Ballivián,https://es.wikipedia.org/wiki/Mar%C3%ADa_Esther_Ballivi%C3%A1n,1,0,10
bolivia,Rafael Ballivián,https://es.wikipedia.org/wiki/Rafael_Ballivi%C3%A1n,1,0,11
bolivia,Juan José Fernández-Campero de Herrera,https://es.wikipedia.org/wiki/Juan_Jos%C3%A9_Fern%C3%A1ndez-Campero_de_Herrera,1,0,12
bolivia,Juan José Gervasio Fernández-Campero,https://es.wikipedia.org/wiki/Juan_Jos%C3%A9_Gervasio_Fern%C3%A1ndez-Campero,1,0,13
chile,Francisco Javier de Errázuriz Madariaga,https://es.wikipedia.org/wiki/Francisco_Javier_de_Err%C3%A1zuriz_Madariaga,8,181.58333333333334,1
chile,Agustín Edwards Ross,https://es.wikipedia.org/wiki/Agust%C3%ADn_Edwards_Ross,7,71.33333333333333,2
chile,Arturo Alessandri,https://es.wikipedia.org/wiki/Arturo_Alessandri,7,6.166666666666666,3
chile,Rosa Rodríguez (primera dama),https://es.wikipedia.org/wiki/Rosa_Ester_Rodr%C3%ADguez_Velasco,7,6.166666666666666,4
chile,Manuel de Balmaceda Ballesteros,https://es.wikipedia.org/wiki/Manuel_de_Balmaceda_Ballesteros,6,66.41666666666667,5
chile,José Manuel Balmaceda,https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda,6,33,6
chile,Domingo Matte Mesías,https://es.wikipedia.org/wiki/Domingo_Matte_Mes%C3%ADas,6,54.5,7
chile,Manuel Bulnes,https://es.wikipedia.org/wiki/Manuel_Bulnes,6,44.8,8
chile,Cristián Campos,https://es.wikipedia.org/wiki/Cristi%C3%A1n_Campos,6,57,9
chile,Eulogia Echaurren,https://es.wikipedia.org/wiki/Eulogia_Echaurren,6,84.04761904761904,10
chile,Andrónico Lukšić Abaroa,https://es.wikipedia.org/wiki/Andr%C3%B3nico_Luk%C5%A1i%C4%87_Abaroa,6,25.5,11
chile,Hernán Alessandri,https://es.wikipedia.org/wiki/Hern%C3%A1n_Alessandri,6,19.533333333333335,12
chile,Rosa Rodríguez (primera dama),https://es.wikipedia.org/wiki/Rosa_Rodr%C3%ADguez_%28primera_dama%29,6,6,13
chile,Arturo Alessandri,https://es.wikipedia.org/wiki/Arturo_Alessandri_Palma,6,6,14
chile,Patricio Aylwin,https://es.wikipedia.org/wiki/Patricio_Aylwin,5,20.666666666666668,15
chile,Pedro Íñiguez Larraín,https://es.wikipedia.org/wiki/Pedro_%C3%8D%C3%B1iguez_Larra%C3%ADn,5,13.833333333333332,16
chile,María Luisa Carvajal Dávalos,https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Carvajal_D%C3%A1valos,5,30.499999999999996,17
chile,Bernardo O'Higgins,https://es.wikipedia.org/wiki/Bernardo_O%27Higgins,5,9,18
chile,Claudia di Girolamo,https://es.wikipedia.org/wiki/Claudia_di_Girolamo,5,56,19
chile,Eulogia Echaurren,https://es.wikipedia.org/wiki/Eulogia_Echaurren_Garc%C3%ADa-Huidobro,5,51,20
chile,Agustín Edwards Ossandón,https://es.wikipedia.org/wiki/Agust%C3%ADn_Edwards_Ossand%C3%B3n,5,47,21
chile,Fernando Errázuriz,https://es.wikipedia.org/wiki/Fernando_Err%C3%A1zuriz,5,43.08333333333333,22
chile,Ramón Subercaseaux Vicuña,https://es.wikipedia.org/wiki/Ram%C3%B3n_Subercaseaux_Vicu%C3%B1a,5,36,23
chile,Ramón Subercaseaux Mercado,https://es.wikipedia.org/wiki/Ram%C3%B3n_Subercaseaux_Mercado,5,26,24
chile,Magdalena Vicuña Aguirre,https://es.wikipedia.org/wiki/Magdalena_Vicu%C3%B1a_Aguirre,5,36.5,25
chile,Liborio Ramón Freire Caldera,https://es.wikipedia.org/wiki/Liborio_Ram%C3%B3n_Freire_Caldera,5,6.833333333333334,26
chile,Ramón Freire,https://es.wikipedia.org/wiki/Ram%C3%B3n_Freire,5,1.5,27
chile,Manuela Caldera,https://es.wikipedia.org/wiki/Manuela_Caldera_Mascayano,5,1.5,28
chile,Francisca García-Huidobro,https://es.wikipedia.org/wiki/Francisca_Garc%C3%ADa-Huidobro,5,18,29
chile,Miguel Kast,https://es.wikipedia.org/wiki/Miguel_Kast,5,31.299999999999997,30
chile,Magdalena Matte,https://es.wikipedia.org/wiki/Magdalena_Matte,5,25.333333333333336,31
chile,Lucía Hiriart,https://es.wikipedia.org/wiki/Luc%C3%ADa_Hiriart,5,3.833333333333333,32
chile,Lucía Pinochet,https://es.wikipedia.org/wiki/Luc%C3%ADa_Pinochet,5,7.083333333333333,33
chile,Claudio Arredondo,https://es.wikipedia.org/wiki/Claudio_Arredondo,5,8,34
chile,Amparo Noguera,https://es.wikipedia.org/wiki/Amparo_Noguera,5,46,35
chile,Arturo Alessandri Rodríguez,https://es.wikipedia.org/wiki/Arturo_Alessandri_Rodr%C3%ADguez,5,10.533333333333335,36
chile,José Miguel Vicuña,https://es.wikipedia.org/wiki/Jos%C3%A9_Miguel_Vicu%C3%B1a,5,16.5,37
chile,Eliana Navarro,https://es.wikipedia.org/wiki/Eliana_Navarro,5,8.5,38
chile,Salvador Allende Castro,https://es.wikipedia.org/wiki/Salvador_Allende_Castro,5,67.25,39
chile,Laura Allende Gossens,https://es.wikipedia.org/wiki/Laura_Allende_Gossens,5,50,40
chile,Beatriz Allende,https://es.wikipedia.org/wiki/Beatriz_Allende,5,27.25,41
colombia,José de Mosquera y Prieto,https://es.wikipedia.org/wiki/Jos%C3%A9_de_Mosquera_Figueroa_y_Prieto_de_Tobar,8,75.48333333333333,1
colombia,Carlos Holguín Mallarino,https://es.wikipedia.org/wiki/Carlos_Holgu%C3%ADn_Mallarino,8,27.86666666666667,2
colombia,Gloria Pachón,https://es.wikipedia.org/wiki/Gloria_Pach%C3%B3n,8,79.83333333333333,3
colombia,María Cristina Arango,https://es.wikipedia.org/wiki/Mar%C3%ADa_Cristina_Arango,7,21.816666666666666,4
colombia,Margarita Caro de Holguín,https://es.wikipedia.org/wiki/Margarita_Caro_Tobar,7,48.699999999999996,5
colombia,Francisco Xavier Vergara,https://es.wikipedia.org/wiki/Francisco_Xavier_de_Vergara_Azc%C3%A1rate,7,102.4404761904762,6
colombia,Luis Carlos Galán,https://es.wikipedia.org/wiki/Luis_Carlos_Gal%C3%A1n_Sarmiento,7,36.3,7
colombia,Mariano Ospina Pérez,https://es.wikipedia.org/wiki/Mariano_Ospina_P%C3%A9rez,7,208.7,8
colombia,Mariano Ospina Rodríguez,https://es.wikipedia.org/wiki/Mariano_Ospina_Rodr%C3%ADguez,7,114.83962148962149,9
colombia,José María de Mosquera,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_de_Mosquera_y_Figueroa,6,35,10
colombia,Misael Pastrana,https://es.wikipedia.org/wiki/Misael_Pastrana,6,8.73333333333333,11
colombia,Enrique Santos Castillo,https://es.wikipedia.org/wiki/Enrique_Santos_Castillo,6,108.5,12
colombia,Margarita Caro de Holguín,https://es.wikipedia.org/wiki/Margarita_Caro_de_Holgu%C3%ADn,6,22.599999999999998,13
colombia,Francisco Vergara Azcárate,https://es.wikipedia.org/wiki/Francisco_Vergara_Azc%C3%A1rate_y_Vela_Pati%C3%B1o,6,41.24523809523811,14
colombia,Antonia Vergara y Sanz de Santamaría,https://es.wikipedia.org/wiki/Antonia_Vergara_y_Sanz_de_Santamar%C3%ADa,6,88.78571428571429,15
colombia,José de Vergara Azcárate,https://es.wikipedia.org/wiki/Jos%C3%A9_Sebasti%C3%A1n_de_Vergara_Azc%C3%A1rate_y_G%C3%B3mez_de_Sandoval,6,43.28809523809523,16
colombia,Nydia Quintero,https://es.wikipedia.org/wiki/Nydia_Quintero,6,11.75,17
colombia,Guillermo León Valencia,https://es.wikipedia.org/wiki/Guillermo_Le%C3%B3n_Valencia,6,32,18
colombia,Pedro Nel Ospina,https://es.wikipedia.org/wiki/Pedro_Nel_Ospina,6,138.86764346764346,19
colombia,Alfonso López Michelsen,https://es.wikipedia.org/wiki/Alfonso_L%C3%B3pez_Michelsen,6,50.5,20
colombia,Alfonso López Pumarejo,https://es.wikipedia.org/wiki/Alfonso_L%C3%B3pez_Pumarejo,6,46.5,21
colombia,Matilde Osorio Ricaurte,https://es.wikipedia.org/wiki/Matilde_Osorio_Ricaurte,6,9.5,22
colombia,Manuel Ospina Vásquez,https://es.wikipedia.org/wiki/Manuel_Ospina_V%C3%A1squez,6,92.53333333333333,23
colombia,Tulio Ospina,https://es.wikipedia.org/wiki/Tulio_Ospina_V%C3%A1squez,6,141.31752136752138,24
colombia,Enriqueta Vásquez de Ospina,https://es.wikipedia.org/wiki/Enriqueta_V%C3%A1squez_Jaramillo,6,112.08962148962149,25
colombia,Pedro Nel Ospina,https://es.wikipedia.org/wiki/Pedro_Nel_Ospina_V%C3%A1squez,6,146.04902319902322,26
colombia,María Eugenia Rojas,https://es.wikipedia.org/wiki/Mar%C3%ADa_Eugenia_Rojas,6,9.5,27
ecuador,José de Vergara Azcárate,https://es.wikipedia.org/wiki/Jos%C3%A9_Sebasti%C3%A1n_de_Vergara_Azc%C3%A1rate_y_G%C3%B3mez_de_Sandoval,4,9,1
ecuador,Luis Felipe Borja Pérez,https://es.wikipedia.org/wiki/Luis_Felipe_Borja_P%C3%A9rez,3,3,2
ecuador,Emilio Estrada,https://es.wikipedia.org/wiki/Emilio_Estrada,3,4.333333333333333,3
ecuador,Victor Emilio Estrada,https://es.wikipedia.org/wiki/Victor_Emilio_Estrada,3,2.5,4
ecuador,Victor Emilio Estrada,https://es.wikipedia.org/wiki/V%C3%ADctor_Emilio_Estrada,3,2.5,5
ecuador,Álvaro Noboa,https://es.wikipedia.org/wiki/%C3%81lvaro_Noboa,3,9,6
ecuador,Daniel Noboa,https://es.wikipedia.org/wiki/Daniel_Noboa,3,5,7
ecuador,Francisco Vergara Azcárate,https://es.wikipedia.org/wiki/Francisco_Vergara_Azc%C3%A1rate,2,4,8
ecuador,Emilio Estrada Icaza,https://es.wikipedia.org/wiki/Emilio_Estrada_Icaza,2,0.3333333333333333,9
ecuador,Julio Estrada Icaza,https://es.wikipedia.org/wiki/Julio_Estrada_Icaza,2,0.3333333333333333,10
