nombre_p,fam_p,pais_p,nombre_r,fam_r,pais_r,tipo_relacion,ocupacion_p,ocupacion_r
Nicolás Yerovi,cano,peru,Paloma Yerovi Cisneros,yerovi,peru,hijo/a,"Escritor, periodista, poeta, dramaturgo, humorista",Actriz y Dramaturga
Pío Tristán,tristán_del_pozo,peru,Victoria Tristán de Echenique,echenique,peru,hijo/a,Político y militar,NA
Pablo Mackenna,mackenna,chile,Rosa Markmann,videla,chile,hijo/a,Presentador de televisión y escritor,Política y suffragette
Paco Malgesto,aguilar,mexico,Marcela Robles,robles,peru,hijo/a,Locutor y animador de televisión,Escritora Poeta Cineasta Periodista
Patricia Bullrich,bullrich,argentina,Francisco Leiva,leyva,colombia,hijo/a,Política,Dramaturgo y escritor
Pedro Andrés García,garcía_de_sobrecasa,argentina,Manuel José García,garcía-mansilla,argentina,hijo/a,"Militar , ingeniero y geógrafo","Diplomático , político y militar"
Pedro Nel Ospina,lleras,colombia,Manuel Ospina Vásquez,ospina,colombia,hijo/a,"Militar , político , ingeniero de minas","Político , terrateniente"
Pedro Nel Ospina,ospina,colombia,Luis Ospina Vásquez,lleras,colombia,hijo/a,"Militar , político , ingeniero de minas",Historiador
Rafael Bielsa (jurista),bielsa,argentina,Rafael Pardo,pardo,colombia,hijo/a,Abogado Jurista,Economista
Rafael Bielsa (jurista),bielsa,argentina,Ana María Groot,groot,colombia,hijo/a,Abogado Jurista,NA
Rafael Santa Cruz (torero),santa_cruz,peru,Rafael Zea,zea,colombia,hijo/a,torero,Actor
Remigio Morales Bermúdez Sánchez,llosa,peru,Francisco Morales Bermúdez,morales_bermúdez,peru,hijo/a,Militar,Político y oficial militar
Rodrigo Lloreda Caicedo,caicedo,colombia,Francisco José Lloreda,cabal,colombia,hijo/a,"Abogado, periodista, empresario","Escritor , diplomático , político y abogado"
Rosa Rodríguez (primera dama),morandé,chile,Arturo Alessandri Rodríguez,velasco_chile,chile,hijo/a,Primera dama,Abogado
Rosa Rodríguez (primera dama),morandé,chile,Jorge Alessandri,velasco_chile,chile,hijo/a,Primera dama,"Ingeniero civil , emprendedor , político e ingeniero"
Rosa Rodríguez (primera dama),morandé,chile,Fernando Alessandri,velasco_chile,chile,hijo/a,Primera dama,Abogado
Rosa Rodríguez (primera dama),morandé,chile,Eduardo Alessandri,velasco_chile,chile,hijo/a,Primera dama,Político y abogado
Rosa Rodríguez (primera dama),velasco_chile,chile,Hernán Alessandri,morandé,chile,hijo/a,Primera dama,Médico
Segundo Roca,paz,argentina,Alejandro Roca Rey,roca_y_rodríguez,peru,hijo/a,Militar,"Actor , director de cine y músico"
Tomasa de la Quintana,escalada,argentina,Manuel Escalada,san_martín,argentina,hijo/a,Dama patricia,Militar
Tomasa de la Quintana,escalada,argentina,María de las Nieves de Escalada,san_martín,argentina,hijo/a,Dama patricia,Ejércitos patriotas
Tomasa de la Quintana,escalada,argentina,María de los Remedios de Escalada,balcarce,argentina,hijo/a,Dama patricia,Ejército Patriota
Tomasa de la Quintana,escalada,argentina,Mariano Escalada,san_martín,argentina,hijo/a,Dama patricia,Militar
Tomasa de la Quintana,san_martín,argentina,María de los Remedios de Escalada,balcarce,argentina,hijo/a,Dama patricia,Ejército Patriota
Vicente Holguín,arboleda,colombia,Carlos Holguín Mallarino,caro,colombia,hijo/a,Empresario,"Político, abogado, militar, escritor, periodista y diplomático"
Alberto Villamizar,pachón,colombia,Maruja Pachón,galán,colombia,conyuge,Diplomático y Pana,Periodista
Ana de Narváez de Caro,caicedo,colombia,Miguel Antonio Caro,azuola,colombia,conyuge,NA,"Estadista , humanista ."
Andrea Casiraghi,santo_domingo,colombia,Tatiana Santo Domingo,pumarejo,colombia,conyuge,NA,Empresaria
Augusto Leguía,leguía,peru,Julia Swayne y Mariátegui,diez_canseco,peru,conyuge,"Político , negociante y empresario",Política
Baltasar Unquera,garcía_de_zúñiga,uruguay,Martina Warnes,warnes,argentina,conyuge,Militar,NA
Carlos Cano (actor),frayssinet,peru,Patricia Frayssinet,cano,peru,conyuge,Actor y Productor de teatro,"Actriz , directora de teatro y profesora de actuación"
Cecilia Morel,piñera,chile,Sebastián Piñera,echenique,chile,conyuge,Política y orientadora familiar,"Político , empresario , economista , inversor, consultor , ingeniero , dirigente deportivo y emprendedor"
Diana Turbay,turbay,colombia,Miguel Uribe Londoño,quintero,colombia,conyuge,Periodista,"Abogado , economista , periodista , empresario y político"
Diego José Benavente,valdivieso,chile,Mercedes Fontecilla,pinto_chile,chile,conyuge,Político,Política
Dolores Vargas París,urdaneta,venezuela,Rafael Urdaneta,parís,venezuela,conyuge,NA,"Militar , político"
Isabel de Yugoslavia,ulloa,peru,Manuel Ulloa Elías,cisneros,peru,conyuge,NA,Abogado
Jaime Bayly,orbegoso,peru,Silvia Núñez del Arco,santiago_concha,peru,conyuge,"Escritor , presentador , periodista y youtuber",Escritora
Jorge Teillier,mendoza_ladrón_de_guevara,chile,Sybila Arredondo,bustamante,chile,conyuge,Poeta,Historiadora
José Miguel Carrera,valdivieso,chile,Mercedes Fontecilla,pinto_chile,chile,conyuge,Político y militar,Política
José Rufino Echenique,tristán_del_pozo,peru,Victoria Tristán de Echenique,echenique,peru,conyuge,Militar y político,NA
Juan de Tolosa,moctezuma,mexico,Leonor Cortés Moctezuma,pizarro,chile,conyuge,Explorador,NA
Luis Batlle Berres,saavedra,uruguay,Matilde Ibáñez Tálice,batlle,argentina,conyuge,"Periodista , político",Política
Luisa Garmendia,pinto_chile,argentina,Francisco Antonio Pinto,cruz_chile,chile,conyuge,Ama de casa,"Militar , abogado y político"
Magdalena de Guzmán,pizarro,chile,Martín Cortés Zúñiga,moctezuma,mexico,conyuge,NA,Explorador
Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,Ana Jacoba García de Zúñiga,warnes,argentina,conyuge,Alcalde de primer voto del Cabildo de Buenos Aires,Ejército Patriota
María Teresa del Toro,palacios_venezuela,venezuela,Simón Bolívar,bolívar,colombia,conyuge,NA,Militar y político
Mariah Carey,sodi,mexico,Tommy Mottola,díaz_ordaz,mexico,conyuge,Cantante Compositora Productora discográfica Actriz,"Empresario , productor discográfico , productor de televisión"
Raquel Señoret,garcía-huidobro,chile,Vicente Huidobro,concha_chile,chile,conyuge,Escritora y poetisa,"Poeta , escritor , periodista y dramaturgo"
Tadea Lozano e Isasi,lozano,colombia,Jorge Tadeo Lozano,álvarez_del_casal,colombia,conyuge,NA,"Escritor, político, periodista, científico"
Tomasa de la Quintana,san_martín,argentina,Antonio José de Escalada,balcarce,argentina,conyuge,Dama patricia,Político y Comerciante
Ángel Prieto Vial,vial,chile,José María de la Cruz Prieto,cruz_chile,chile,conyuge,Militar,NA
Adolfo Zaldívar,zaldívar,chile,Ana María Palma,vicuña,chile,conyuge,Abogado y político,Actriz
Adriana Arboleda,arboleda,colombia,Harold Eder,caicedo,colombia,conyuge,"Presentadora de televisión , Modelo",Empresario
Agustín Edwards Eastman,edwards,chile,María Luisa Fernández,concha_chile,chile,conyuge,"Periodista , editor y empresario",escritora
Agustina Paz de Roca,roca,argentina,Segundo Roca,paz,argentina,conyuge,Comerciante,Militar
Alberto Baillères González,baillères,mexico,Teresa Hales,hales,chile,conyuge,"empresario, economista y ganadero",Actriz
Alberto Benegas Lynch (padre),benegas,argentina,Sara del Campo,montt,chile,conyuge,Economista e intelectual,Ama de casa
Alejandro Eder,eder,colombia,Taliana Vargas,caicedo,colombia,conyuge,Político,"Modelo , actriz , presentadora de televisión y activista ."
Alejandro García-Huidobro,garcía-huidobro,chile,María Eugenia Rojas,rojas,colombia,conyuge,Político,"Político, militar, líder social"
Alejandro Miró Quesada Garland,cisneros,peru,Adriana Cisneros,cisneros_venezuela,venezuela,conyuge,Periodista,Empresario Inversionista CEO en Organización Cisneros
Alfredo del Mazo González,del_mazo,mexico,María del Carmen Ureta,ureta,peru,conyuge,Político y diplomático,actriz
Alonso Hernández Portocarrero,pizarro,colombia,La Malinche,moctezuma,mexico,conyuge,Militar y Regidor,"Intérprete , traductora y asesora"
Amelia Solar de Claro,claro_chile,chile,José Luis Cantilo,ortiz_basualdo,argentina,conyuge,"Poetisa , dramaturga y ensayista",Abogado
Aníbal Fernández de Soto,camacho,colombia,Juan Saá,saá,argentina,conyuge,político y abogado,Militar
Andrónico Lukšić Abaroa,luksic,chile,Familia Lukšić,fontbona,chile,conyuge,Empresario,NA
Antonio Aguilar hijo,aguilar,mexico,Susana Correa,borrero,colombia,conyuge,"Cantante , actor",Ingeniera Industrial y Política
Arturo Alessandri,velasco_chile,chile,Rosa Rodríguez (primera dama),morandé,chile,conyuge,Abogado y político,Primera dama
Benita Martínez Pastoriza de Sarmiento,sarmiento,argentina,Domingo Faustino Sarmiento,sarsfield,argentina,conyuge,NA,"Docente , político , escritor"
Benjamín Vicuña Mackenna,mackenna,chile,Victoria Subercaseaux Vicuña,subercaseaux,chile,conyuge,"Abogado , escritor y político",NA
Carlos Concha Subercaseaux,concha_chile,chile,Mercedes Hurtado de Álvarez,álvarez_del_casal,colombia,conyuge,Abogado y político,Escritora y poetisa
Carlos Eugenio Lavín,garcía-huidobro,chile,Familia Chadwick,chadwick,chile,conyuge,Ingeniero comercial y empresario,NA
Carlos Malpica,silva_santisteban,peru,Teresa Marinovic,vial,chile,conyuge,Ingeniero agrónomo y Político,Columnista y docente universitario
Carlos Miró-Quesada Laos,miró_quesada,peru,Carlos Moreyra y Paz Soldán,moreyra,peru,conyuge,Periodista y Diplomático,"Ingeniero agrónomo , empresario y político"
Carlos Ortiz de Rozas,ortiz_de_rozas,argentina,María del Carmen Ureta,ureta,peru,conyuge,Abogado y diplomático,actriz
Carlos Pellegrini,pellegrini,argentina,Carolina Cano,cano,peru,conyuge,Abogado,Actriz modelo
Carmela Mackenna,mackenna,chile,Enrique Cueto,cueto,chile,conyuge,"Compositora , profesora de música y pianista",Ingeniero comercial y Empresario
Carolina Vásquez de Ospina,ospina,colombia,Pedro Nel Ospina,lleras,colombia,conyuge,Empresaria,"Militar , político , ingeniero de minas"
Catalina Edwards,edwards,chile,Juan Pablo Llinás,llinás,colombia,conyuge,Periodista,"Médico , científico y político"
Cristina Girardi,lavín,chile,Francisco Javier Vergara,vergara-azcárate,colombia,conyuge,Antropóloga y política,Geógrafo e historiador
Cristina Girardi,lavín,chile,Francisco Javier Vergara,vergara-azcárate,colombia,conyuge,Antropóloga y política,Geógrafo e historiador
Daniel García-Mansilla,garcía-mansilla,argentina,Matilde Rodríguez Larreta,rodríguez_larreta,uruguay,conyuge,"Doctor en Leyes, diplomático, poeta, escritor",Política
Delfina de la Cruz,vial,chile,Aníbal Pinto,cruz_chile,chile,conyuge,"Primera dama , pianista y compositora",Abogado y político
Denisse Dibós,alarco,peru,Javier Ortiz de Zevallos,del_solar,peru,conyuge,"Actriz , productora , directora , bailarina",Abogado
Eduardo López Rivas,urdaneta,venezuela,Celia Bustamante,bustamante,peru,conyuge,"Editor , periodista , escritor",Gestora cultural
Eduardo Umaña Mendoza,umaña,colombia,Patricio Fernández,chadwick,chile,conyuge,"Intelectual , profesor universitario y abogado","Periodista , analista político y escritor"
Elena Largacha Ortiz,holguín,colombia,Julián Trujillo Largacha,largacha,colombia,conyuge,"pintora, dibujante, retratista","Abogado , militar , político"
Ernesto Alayza Grundy,alayza,peru,Nicanor Mujica Álvarez-Calderón,álvarez_calderón,peru,conyuge,Abogado,Político
Ernesto Fontaine,fontaine,chile,María Eugenia Cordovez,febres-cordero,ecuador,conyuge,"Economista , académico, investigador y consultor",Política
Ernesto Samper,samper,colombia,Jacquin Strouss Lucena,gnecco,colombia,conyuge,"Diplomático , abogado , economista y político",Economista e historiadora
Esteban Bullrich,alvear,argentina,María Eugenia Hirmas,bitar,chile,conyuge,Político,Socióloga y política
Francisco Graña Reyes,graña,peru,Enriqueta Garland Higginson,málaga,peru,conyuge,"Médico , catedrático universitario , empresario y político",NA
Francisco José Madero González,madero,mexico,María Luisa Fernández,concha_chile,chile,conyuge,Político,escritora
Francisco Xavier Vergara,caicedo,colombia,Mariano Sanz de Santamaría,sanz_de_santamaría,colombia,conyuge,Abogado Fiscal y Civil,Arquitecto
Francisco Xavier Vergara,caicedo,colombia,Mariano Sanz de Santamaría,sanz_de_santamaría,colombia,conyuge,Abogado Fiscal y Civil,Arquitecto
Francisco Xavier Vergara,caicedo,colombia,Mariano Sanz de Santamaría,sanz_de_santamaría,colombia,conyuge,Abogado Fiscal y Civil,Arquitecto
Guadalupe Pineda,aguilar,mexico,Dardo Rocha,rocha,argentina,conyuge,Cantante,Abogado Militar Periodista
Gustavo Madero Muñoz,madero,mexico,María Eugenia Hirmas,bitar,chile,conyuge,Empresario,Socióloga y política
Harold Bedoya,pizarro_colombia,colombia,María Cristina Arango,borrero,colombia,conyuge,"Militar , Político",Política
Helena Groot de Restrepo,groot,colombia,José Manuel Restrepo Vélez,restrepo,colombia,conyuge,NA,"Biólogo , político , abogado y botánico"
Hugo Vaca Narvaja,vaca_narvaja,argentina,Susana Correa,borrero,colombia,conyuge,Abogado,Ingeniera Industrial y Política
Isaac Garza Garza,garza_sada,mexico,Consuelo Saavedra,velasco_chile,chile,conyuge,empresario,Periodista
Jorge Astaburuaga Lyon,claro_chile,chile,Elena Larraín Valdés,valdés_chile,chile,conyuge,"político, corredor de bolsa",Activista política
Jorge Batlle,batlle,uruguay,Mercedes Menafra,saavedra,uruguay,conyuge,Abogado periodista político,Industrial textil y empresaria
Jorge Pinto Rodríguez,pinto_chile,chile,Julio Caro,caicedo,colombia,conyuge,"Historiador , escritor de no ficción y profesor universitario","Economista , Banquero"
José Ballivián,ballivián,bolivia,Mercedes Fontecilla,pinto_chile,chile,conyuge,Militar y político,Política
José de San Martín,san_martín,argentina,María de los Remedios de Escalada,balcarce,argentina,conyuge,Militar y político,Ejército Patriota
José Gregorio Gutiérrez,gutiérrez_díaz,colombia,Antonia Vergara y Sanz de Santamaría,caicedo,colombia,conyuge,Abogado Fiscal y Civil,NA
José Manuel Astigueta (padre),astigueta,argentina,María Luisa Dehesa,gómez_farías,mexico,conyuge,Abogado,Arquitecta
José Pardo y Aliaga,pardo,peru,María Teresa Londoño,herrera,colombia,conyuge,"Diplomático , poeta",NA
Juan Carlos Alsogaray,alsogaray,argentina,Cecilia Navia,navia,colombia,conyuge,Sociólogo y activista político,Actriz
Juan Gómez Martínez,gómez_martínez,colombia,María Teresa Campos,velasco_chile,chile,conyuge,Político y Diplomático,"Presentadora de televisión , periodista , escritora , locutora , política y directora de televisión"
Juan Gonzalo Restrepo Londoño,jaramillo_colombia,colombia,María Victoria Ovalle,errázuriz,chile,conyuge,"Abogado , empresario , político",Empresaria y política
Juan de San Martín,san_martín,argentina,Gregoria Matorras,balcarce,argentina,conyuge,"Militar , funcionario y gobernante colonial",Activista
Julián de Leyva,leyva,argentina,Tomasa de la Quintana,escalada,argentina,conyuge,Síndico procurador general del Cabildo de Buenos Aires.,Dama patricia
Luis Calderón Vega,calderón_hinojosa,mexico,María del Carmen Sotomayor,errázuriz,chile,conyuge,"político , escritor , profesor",Política y primera dama
Luis Caycedo y Flórez,caicedo,peru,María Josefa Sanz de Santamaría,sanz_de_santamaría,colombia,conyuge,"Militar, hacendado y político",NA
Luis Solari,solari,peru,María del Carmen Sotomayor,errázuriz,chile,conyuge,Médico,Política y primera dama
Magdalena de Guzmán,pizarro,chile,Marquesado del Valle de Oaxaca,cortés_de_monroy,chile,conyuge,NA,NA
Manuel Carvajal Sinisterra,borrero,colombia,María Teresa del Toro,toro_venezuela,venezuela,conyuge,Empresario,NA
Manuel González Olaechea,gonzález-olaechea,peru,María Eugenia Rojas,rojas,colombia,conyuge,"Abogado , docente universitario y periodista","Político, militar, líder social"
Manuel Odriozola Romero,odriozola,peru,Óscar Benavides,benavides_perú,peru,conyuge,"Médico , catedrático universitario y político",Militar y político
Manuel de Tezanos Pinto (político),pinto_chile,argentina,Teófilo Sánchez de Bustamante,sánchez_de_bustamante,argentina,conyuge,Comerciante y político,Político
María José Bello,walker_chile,chile,Mauricio Macri,awada,argentina,conyuge,Actriz y Locutora,"Empresario , político e ingeniero civil"
María Teresa del Toro,toro_venezuela,venezuela,Simón Bolívar,bolívar,colombia,conyuge,NA,Militar y político
Mario Ruiz Massieu,ruiz-massieu,mexico,María Eugenia Bielsa,bielsa,argentina,conyuge,Abogado,"Arquitecta , docente"
Marta Cruz-Coke,cruz-coke,chile,Gustavo Lagos Matus,cruz_chile,chile,conyuge,"filósofa, profesora, gestora cultural","Abogado , politólogo , académico y político"
Mercedes Marín del Solar,claro_chile,chile,José María del Carril,del_carril,argentina,conyuge,"Educadora, poetisa, profesora",Abogado
Mercedes Ortiz de Rozas,ortiz_de_rozas,argentina,Miguel Piñera,echenique,chile,conyuge,Escritora,"Cantante , emprendedor , compositor de canciones y guitarrista"
Miguel Allamand,allamand,chile,Margarita Zavala,calderón_hinojosa,mexico,conyuge,"Ingeniero civil , empresario y político","Abogada , profesora , política"
Misi,samper,colombia,Arturo Char,char,colombia,conyuge,"Directora de teatro, Directora de escuela, Profesora de música y Compositora.","Administrador de empresas , político, cantante"
Pamela Vértiz,vértiz,peru,Alfredo Salazar Southwell,salazar_y_meléndez,peru,conyuge,Periodista y presentadora de televisión,Piloto de aviación
Pedro Bordaberry,bordaberry,uruguay,María José Prieto,di_girolamo,chile,conyuge,"Abogado , profesor , político",Actriz
Pedro Nel Ospina,ospina,colombia,Carolina Vásquez de Ospina,lleras,colombia,conyuge,"Militar , político , ingeniero de minas",Empresaria
Pedro Nolasco Cruz Vergara,cruz_chile,chile,Susana Correa,borrero,colombia,conyuge,"Político , escritor , abogado y crítico literario",Ingeniera Industrial y Política
Roberto Álvarez Calderón Rey,álvarez_calderón,peru,Óscar Benavides,benavides_perú,peru,conyuge,periodista,Militar y político
Roberto Angelini,angelini,chile,Ana María Gazmuri,vicuña,chile,conyuge,Ingeniero civil y empresario,Actriz y política
Roberto Urdaneta,urdaneta,colombia,Clemencia Holguín de Urdaneta,caro,colombia,conyuge,"Periodista, político, diplomático",Socialité
Rodrigo Lloreda Caicedo,caicedo,colombia,María Eugenia Piedrahíta,cabal,colombia,conyuge,"Abogado, periodista, empresario",Cantante
Rosa Rodríguez (primera dama),velasco_chile,chile,Arturo Alessandri,morandé,chile,conyuge,Primera dama,Abogado y político
Salvador Camacho Roldán,camacho,colombia,María del Carmen Ureta,ureta,peru,conyuge,Abogado,actriz
Tadea Lozano e Isasi,lozano,colombia,Jorge Tadeo Lozano,álvarez_del_casal,colombia,conyuge,NA,"Escritor, político, periodista, científico"
Tomasa de la Quintana,escalada,argentina,Antonio José de Escalada,balcarce,argentina,conyuge,Dama patricia,Político y Comerciante
Vanessa Ciangherotti,soler,mexico,Roberto Rocca,rocca,argentina,conyuge,"Actriz , actriz de televisión, modelo","Empresario , filántropo"
Vicente Augier,augier,argentina,Francisco de Acuña,acuña_argentina,argentina,conyuge,militar,escultor
Vicente Saadi,saadi,argentina,Alicia Cañas,zañartu,chile,conyuge,"Abogado, periodista y político","Política , suffragette y alcaldesa"
Alonso Hernández Portocarrero,pizarro,colombia,La Malinche,moctezuma,mexico,pareja,Militar y Regidor,"Intérprete , traductora y asesora"
Joaquín de Orbegoso,frayssinet,peru,Carolina Cano,cano,peru,pareja,Actor y actor de televisión,Actriz modelo
Juan de San Martín,san_martín,argentina,Gregoria Matorras,balcarce,argentina,pareja,"Militar , funcionario y gobernante colonial",Activista
Manuela Sáenz,palacios_venezuela,ecuador,Simón Bolívar,bolívar,colombia,pareja,Militar,Militar y político
Nicolás Cabré,vicuña,argentina,China Suárez,aylwin,argentina,pareja,Actor,Actriz cantante
Nicole Faverón,cayo,peru,Miguel Arce,acuña,peru,pareja,"Modelo, psicóloga clínica y exreina de belleza","Actor , modelo y personalidad televisiva"
Adriana Zubiate,neyra,peru,Gonzalo Revoredo,elías,peru,pareja,"Modelo , presentadora de televisión y baloncestista",Actor
Agustina Paz de Roca,roca,argentina,Segundo Roca,paz,argentina,pareja,Comerciante,Militar
Andrés Velasco (actor),velasco_chile,chile,Sigrid Alegría,portales,chile,pareja,Actor,"Actriz , cantante , folclorista"
Antonia Zegers,matte,chile,Patricio Fernández,chadwick,chile,pareja,Actriz,"Periodista , analista político y escritor"
Camila Hirane,vicuña,chile,Patricio Fernández,chadwick,chile,pareja,Actriz,"Periodista , analista político y escritor"
Feliza Bursztyn,leyva,colombia,Jorge Gaitán Durán,durán_colombia,colombia,pareja,Escultora y pintora,"Poeta, escritor y crítico literario"
Fiorella Cayo,cayo,peru,Miguel Arce,acuña,peru,pareja,"Actriz , cantante , bailarina , cantautora y empresaria","Actor , modelo y personalidad televisiva"
Gonzalo Revoredo,elías,peru,Beatriz Caballero,caballero,colombia,pareja,Actor,"Escritora, guionista, titiritera"
Gustavo Díaz Ordaz,díaz_ordaz,mexico,Irma Serrano,díaz_ceballos,mexico,pareja,"Abogado , político y diplomático",Cantante actriz política
Héctor de Elía,álzaga,argentina,Juana Uribe,pachón,colombia,pareja,NA,"Guionista , productora de televisión"
Javiera Parra,parra_chile,chile,Manuel Llosa,llosa,peru,pareja,Cantante,"Ingeniero , político"
Juan Pablo Obregón,obregón,colombia,Ana María Palma,vicuña,chile,pareja,Actor,Actriz
Katja Alemann,alemann,argentina,Diego Luna,sodi,mexico,pareja,Actriz y modelo,actor director de cine productor de cine actor de voz presentador guionista
Maite Orsini,tohá,chile,Jorge Valdivieso Blanco,valdivieso,chile,pareja,"Abogada , política",Abogado y político
María Luisa Godoy,matte,chile,José Miguel Vicuña,vicuña,chile,pareja,"Periodista , presentadora","Escritor , bibliotecario y poeta"
Marlene Dietrich,díaz_ceballos,mexico,John F. Kennedy,onassis,argentina,pareja,Actriz y cantante,Político [ 1 ] ​
Sandra O'Ryan,di_girolamo,chile,Sebastián Dávalos,bachelet,chile,pareja,Actriz,Politólogo y político
Sigrid Alegría,portales,chile,Andrés Velasco Brañes,velasco_chile,chile,pareja,"Actriz , cantante , folclorista","Economista , académico , investigador , consultor y político"
Sofía García,di_girolamo,chile,Tiago Correa,allamand,chile,pareja,Actriz y actriz de cine,Actor
Sully Sáenz,vértiz,peru,Renzo Costa,acuña,peru,pareja,"Modelo , presentadora de televisión y arquitecta",NA
Tilsa Lozano,vértiz,argentina,Juan Manuel Polar Vargas,polar,peru,pareja,Modelo y empresaria,"Escritor , educador"
