persona_id,nombre,pais_persona,pais_vinculo,campo,texto
2771,Ignacio José de Lizarzaburu,colombia,peru,lugar_nacimiento_parseado,"Riobamba , Virreinato del Perú"
2793,Ignacio Warnes,argentina,peru,lugar_nacimiento_parseado,"Buenos Aires , virreinato del Perú"
2800,Ildefonso Ramos Mexía,argentina,peru,lugar_nacimiento_parseado,"Buenos Aires ( Gobernación del Río de la Plata , Virreinato del Perú , Imperio español )"
2808,Ina Andrade,peru,chile,residencia,"Santiago de Surco , Lima , Lima , Perú"
2812,Inti Briones,chile,peru,lugar_nacimiento_parseado,Lima ( Perú )
2827,Isabel Allende,chile,peru,lugar_nacimiento_parseado,Lima ( Perú )
2841,Isabel Riquelme,chile,peru,residencia,Santiago (Chile) y Lima (Perú)
2841,Isabel Riquelme,chile,peru,lugar_nacimiento_parseado,"San Bartolomé de Chillán y Gamboa , corregimiento de Chillán , reino de Chile , virreinato del Pe..."
2876,Ivana Yturbe,peru,chile,lugar_nacimiento_parseado,"Santiago de Surco , Lima , Perú"
2878,Jacinto Mariano de Villegas,argentina,uruguay,lugar_fallecimiento_parseado,Montevideo Uruguay Uruguay
3008,Joaquín Maciel y Lacoizqueta,argentina,peru,lugar_nacimiento_parseado,"Santa Fe (capital de la tenencia de gobierno homónima de la gobernación del Río de la Plata , Vir..."
3014,Joaquín París Ricaurte,colombia,peru,lugar_fallecimiento_parseado,"San Sebastián de Mariquita , Estado Soberano del Tolima , Estados Unidos de Colombia"
3048,Jorge Alberto Sabato,argentina,chile,residencia,"Argentina , Brasil , Canadá , Chile , Estados Unidos , Francia , Inglaterra , México , Venezuela ."
3048,Jorge Alberto Sabato,argentina,mexico,residencia,"Argentina , Brasil , Canadá , Chile , Estados Unidos , Francia , Inglaterra , México , Venezuela ."
3048,Jorge Alberto Sabato,argentina,venezuela,residencia,"Argentina , Brasil , Canadá , Chile , Estados Unidos , Francia , Inglaterra , México , Venezuela ."
3059,Jorge Basadre,peru,chile,lugar_nacimiento_parseado,"Tacna , Chile [ n 1 ] ​"
3071,Jorge Enrique Velarde,peru,chile,lugar_fallecimiento_parseado,"Iquique , Perú Chile ,1883 en adelante"
3094,Jorge Holguín Mallarino,colombia,chile,lugar_nacimiento_parseado,"Santiago de Cali , Provincia de Buenaventura , República de la Nueva Granada ."
3095,Jorge Holguín Mallarino,colombia,chile,lugar_nacimiento_parseado,"Santiago de Cali , Provincia de Buenaventura , República de la Nueva Granada ."
3100,Jorge López Portillo Tostado,mexico,chile,lugar_nacimiento_parseado,"Santiago de Querétaro , Querétaro , México"
3137,Jorge Yarur Banna,chile,peru,lugar_nacimiento_parseado,Arequipa ( Perú )
3138,Jorge Yoma,argentina,chile,lugar_nacimiento_parseado,"Chilecito , Provincia de La Rioja , Argentina"
3140,Jorge de Tezanos Pinto,argentina,peru,lugar_fallecimiento_parseado,"Lima , Perú Perú"
3159,José Antonio Fernández Cornejo,argentina,peru,lugar_nacimiento_parseado,"Salta , Virreinato del Perú"
3172,José Antonio Manso de Velasco,chile,argentina,lugar_fallecimiento_parseado,"Priego de Córdoba , Imperio español"
3178,José Antonio Urquiza,mexico,chile,lugar_nacimiento_parseado,"Santiago de Querétaro , Querétaro , México"
3186,José Antonio de Lavalle y Cortés,argentina,peru,lugar_fallecimiento_parseado,"Lima , Virreinato del Perú"
3186,José Antonio de Lavalle y Cortés,argentina,peru,lugar_nacimiento_parseado,"Trujillo , Virreinato del Perú"
3207,José Calixto de Orihuela,bolivia,peru,lugar_fallecimiento_parseado,"Lima , Perú Perú"
3207,José Calixto de Orihuela,bolivia,peru,lugar_nacimiento_parseado,"Villa de Oropesa , Alto Perú , Virreinato del Perú"
3208,José Calzada Rovirosa,mexico,chile,lugar_nacimiento_parseado,"Santiago de Querétaro , Querétaro , México"
3221,José Cortés de Madariaga,chile,colombia,lugar_fallecimiento_parseado,"Riohacha , Gran Colombia (actual Colombia)"
3224,José Dammert Chávarri,peru,ecuador,lugar_nacimiento_parseado,Quito ( Ecuador )
3227,José Diez Canseco Pereyra,chile,peru,lugar_fallecimiento_parseado,Lima (Perú)
3227,José Diez Canseco Pereyra,chile,peru,lugar_nacimiento_parseado,Lima ( Perú )
3244,José Esteban de Montt Cabrera,peru,chile,lugar_fallecimiento_parseado,Santiago de Chile ( Capitanía General de Chile )
3244,José Esteban de Montt Cabrera,peru,chile,residencia,Chile
3245,José Estenssoro,argentina,bolivia,lugar_nacimiento_parseado,"La Paz , Bolivia"
3250,José Evaristo Uriburu Tezanos Pinto,argentina,peru,lugar_nacimiento_parseado,"Lima , Perú"
3265,José de San Martín,argentina,chile,residencia,España (1781-1811) Reino Unido (1811-1812) Argentina (1812-1817) Chile (1817-1820) Perú (1820-182...
3265,José de San Martín,argentina,peru,residencia,España (1781-1811) Reino Unido (1811-1812) Argentina (1812-1817) Chile (1817-1820) Perú (1820-182...
3265,José de San Martín,argentina,uruguay,residencia,España (1781-1811) Reino Unido (1811-1812) Argentina (1812-1817) Chile (1817-1820) Perú (1820-182...
3271,José Gabriel Concha,argentina,colombia,lugar_nacimiento_parseado,"Villa del Rosario , Virreinato de la Nueva Granada (hoy Colombia )"
3272,José Gabriel Ortiz,colombia,mexico,residencia,Ciudad de México
3293,José Ignacio de Gorriti,argentina,bolivia,lugar_fallecimiento_parseado,"La Plata , Chuquisaca , Bolivia"
3293,José Ignacio de Gorriti,argentina,peru,lugar_nacimiento_parseado,"San Salvador de Jujuy , Gobernación del Tucumán , Virreinato del Perú"
3300,José Ignacio de Gorriti,argentina,bolivia,lugar_fallecimiento_parseado,"La Plata , Chuquisaca , Bolivia"
3300,José Ignacio de Gorriti,argentina,peru,lugar_nacimiento_parseado,"San Salvador de Jujuy , Gobernación del Tucumán , Virreinato del Perú"
3302,José Javier Eguiguren,ecuador,colombia,lugar_nacimiento_parseado,"Loja , Gran Colombia"
3330,José Manuel Estrada,argentina,paraguay,lugar_fallecimiento_parseado,"Asunción , Paraguay"
3388,José María del Carril,argentina,uruguay,lugar_nacimiento_parseado,"Mercedes , Uruguay"
3396,José Miguel Carrera,chile,argentina,residencia,"Santiago , Capitanía general de Chile Madrid , España peninsular Mendoza y Buenos Aires , Provinc..."
3396,José Miguel Carrera,chile,uruguay,residencia,"Santiago , Capitanía general de Chile Madrid , España peninsular Mendoza y Buenos Aires , Provinc..."
3396,José Miguel Carrera,chile,peru,lugar_nacimiento_parseado,"Santiago de Chile , Reino de Chile , Virreinato del Perú , Imperio español"
3397,José Miguel Carrera Fontecilla,chile,peru,residencia,"Santiago , La Serena y Lima"
3397,José Miguel Carrera Fontecilla,chile,argentina,lugar_nacimiento_parseado,"Paraná , Entre Ríos , Argentina"
3398,José Miguel Carrera,chile,argentina,residencia,"Santiago , Capitanía general de Chile Madrid , España peninsular Mendoza y Buenos Aires , Provinc..."
